A földön árad fényed	156	
A keresztre tekint már szemem	165	
A legjobb nap az életben	196	
A Menny a hazám, egy új világ	4	
A mennyei kar Téged dicsér	204	
A mennyei tábor	5	
A Szent Szellem leszáll	7	
Adj hálát az Úrnak, a Királynak	166	
Adj nékem látást	11	
Ahogy itt vagyunk, s Hozzád száll	194	
Ahogyan a teremtett világ	213	
Áldás, méltóság, és erő	15	
Áldjátok Isten mindörökké tartó	145	
Áldom Istenem neved	18	
Áldom Szent neved	20	
Áldott, aki az Úr nevében jön	14	
Amerre járok	22	
Amikor teljes sötétség borul reám	24	
Amim van hozom eléd	25	
Amit a szem nem látott	26	
Arcod hadd lássam meg	149	
Atyám, Istenem	31	
Az egész föld felett	32	
Az egész világ sóvárogva várja	33	
Az erőtlen most újra szól	140	
Az imádat által égjen	127	
Az Ő kegyelme örökké tart	64	
Az Úr az én Pásztorom	34	
Az utcán lámpák fénye ég	81	
Bemegyek a Szentek Szentjébe	35	
Benned bízom, Te vagy az életem ura	21	
Bennem ég egy tűz	38	
Betlehemben réges-régen	39	
Csak bízz az Úrban	40	
Csak Krisztusban kaptam reményt	42	
Csak pillanat létünk	43	
Csak Tiéd a legelső hely	30	
Csendben nyugodj meg Istennél	44	
Csodállak, imádlak	46	
Dicsérem Őt szentélyében	153	
		
Dicsérje Istent a menny és az ég	154	
Dicső, fenséges Úr, Király	41	
Dicsőséggel körbevesz	102	
Ég és föld Királya	47	
Égjen a láng	49	
Egy a test és egy a Lélek	19	
Él a mi Megváltónk	51	
Elér engem, betölt újra	63	
Eljegyezlek magamnak	52	
Elohim, Elohim	53	
Én már döntöttem	114	
Én nem érek fel Istenhez	55	
Én Uram, erősségem	86	
Én várok, Benned bízom én	180	
Énekelhetnék angyaloknak nyelvén	189	
Engem felhoztál völgyek mélyéről	202	
Erősségem, nincs más Megtartó	100	
Értem folyt a vér	56	
Értünk égett hű szíved	10	
És leült az Úr a mennyben	57	
Fedetlen arccal, mint tükörben	59	
Felemelhetem újra	58	
Felemeljük kezünk, találkozz velünk	200	
Felnézek rád csodás kereszt	60	
Felnőtt, mint vesszőszál	61	
Fenn a hegyről jön a folyó	91	
Fény Királya Ő	152	
Fénye megtörte az éjt	27	
Figyelj titkot mondok el	223	
Fúj a szél, mindenkit elér	65	
Gyertek és öltözzük fel	69	
Gyertek, hogy lássátok	9	
Gyönyörű szép este	70	
Ha pásztor lennél vagy bölcs	66	
Halleluja, halleluja, halleluja, él az Úr	74	
Halleluja, halleluja, haleluja, kegyelmed	76	
Halleluja, halleluja, Neked hódolunk	71	
Hallottál-e az egyetlenről	129	
Hatalmas, dicső Király	75	
Hibát vétettem	77	
		
Hívunk jöjj el hát	80	
Hozzád kiáltok, a dicsőség Királyához	84	
Hozzád kiáltok, Uram én szirtem	83	
Hűsége végtelen, jósága nagy	88	
Hűséges vagy, Ó Istenünk	115	
Igéd éltet, utamon lámpás	87	
Irgalmad tengerében	89	
Irgalmas és kegyelmes a Mindenható	2	103. zsoltár
Isten így szól mindenkihez	72	
Isten úgy szerette a világot	94	
Isten úgy szerette ezt a világot	161	
Istenem, csak kérdezem	79	
Istenem, Te vagy mindenem	96	
Istenünk Szent vagy	98	
Itt állok házadban	181	
Itt állok most szent trónod előtt	29	
Itt állok, a szívem feléd kitárom	109	
Itt az idő, hogy dicsérjem	17	
Itt vagyok örökké szent kezedben	101	
Itt van a perc, hogy lássalak Téged	73	
Jártunk lehajtott fejjel	6	
Jézus az Úr, az egyetlen Isten	104	
Jézus az út az igazság	105	
Jézus Krisztus Úr	106	
Jézus, én így jövök Hozzád	126	
Jézus, kegyelmed tartja a lelket bennem	113	
Jézus, Te vagy az egyetlen	108	
Jézusom, közel a fény, tudom	107	
Jó az Úr, örökké	111	
Jöjj te is, áldjuk Őt	112	
Jól ismerem kegyelmed	224	
Kegyelmed jobb az életnél	205	
Kegyelmeddel megváltottál	118	
Kell, hogy végre érezd	119	
Kész vagyok, hogy elmondjam	117	
Készítsük el, készítsük el	121	
Ki gyógyít összetört szíveket	211	
Ki lesz majd a fény	122	
Ki vagyok én, hogy figyelsz rám	36	
Kiáltó szó volt a pusztában	147	
		
Kiáltsuk, Szent vagy	123	
Köszönöm, hogy eljöttél	125	
Lássam azt, mit látsz, lépjek ott	133	
Látlak, Uram trónodon ülve	124	
Látom az élő Jézust	85	
Leborulva, Ó Jézusunk	128	
Lelkem szomjazik utánad	135	
Létem dicsérje	134	
Leteszem az életem	50	
Magas hegytetőkön és a tenger mélyén	62	
Magasztaljuk Őt, a mindenség Urát	138	
Megemlékezem értem ontott	130	
Meglátlak majd egy napon	171	
Megölték a Bárányt, de Rá dicsőség	176	
Megváltóm, Szabadítóm	141	
Méltó, méltó, méltó	143	
Menjünk együtt az Úr elé	144	
Mérhetetlen Isten	173	
Mi várunk Rád, úgy várunk Rád	146	
Milyen szavak mondhatnák el	23	
Minden elmúlik, de az Úr beszéde	137	
Minden Karácsonykor van egy álmom	45	
Minden nép Hozzád kiált	95	
Minden teremtmény	16	
Minden, ami bennem él	157	
Mint jó illatú füst szálljon fel	155	
Most már szabadságban élek	160	
Ne félj, mert Megváltód	3	
Neked adom, életem a Tiéd Uram	164	
Nekem nincs más rajtad kívül Jézus	99	
Nem akarok csak úgy itt állni	68	
Nem akarsz félszívű követőt	132	
Nem ezt vártad, nem így mondták	82	
Nem vádol már senki sem	131	
Nézd ott fenn, mi van a kereszten	169	
Nincs más, nincs más, csak Jézus	170	
Nyitva áll a mennyei hely	28	
Ő az, ki velem van a tűzben	177	
Ő tett szabaddá, Ő tett szabaddá	186	
Ó, Szent Király, Ó hű Király	168	
		
Oly jó veled lenni Jézus	172	
Oly szép vagy, lelkem Téged áld	174	
Oly szép vagy, nincs arra szó	167	
Örök Isten, Te hajlékom vagy	192	
Örökké Téged imádlak	175	
Öröktől ismered szívem vágyát	178	
Őt látom minden pillanatban	142	
Pártfogóm, a királyok felett	179	
Pásztorom vagy, Jó Uram	48	
Sátánt legyőzték	8	
Semmiért se aggódj, semmitől se félj	150	
Semmim sem volt nekem	1	
Senki nem méltó rá	206	
Soha még nem hallottam olyat	67	
Sorsom ott van a kezedben	182	
Sötétben ragyog, mint égi fény	110	
Sötétségből a fénybe emelsz	151	
Száguldó napjainkban	184	
Szakadék tátongott	78	
Százszor elbuktam	222	
Szent az Úr, Szent az Úr	139	
Szent Szellem érintsd meg néped	93	
Szent Szelem köszöntünk	158	
Szent vagy, szent vagy, meghajtom	90	
Szent, szent, szent vagy	188	
Szeretlek Téged Jézus	191	
Szeretünk Jézus, Te légy minden	190	
Szólj hozzánk, és mi hallgatunk	220	
Tapsoljál és ujjongjál	162	
Tarts meg engem Istenem	195	16. zsoltár
Te Isten vagy, de én nem	97	
Te vagy a legdrágább kincs	198	
Te vagy a legfőbb kincsem	199	
Te vagy az életem, reményem, álmom	203	
Te vagy az első, aki azért szerettél	163	
Te vagy az első, és utolsó	54	
Te vagy az út, az igazság	187	
Te vagy forrásom	210	
Te vagy szerelme életemnek	193	
Te vagy Úr a mennyben	12	
		
Te vagy Uram menedékem	136	
Te vagy városunk Ura	201	
Téged hívlak Istenem	37	
Téged hívlak mikor sötétség támad	159	
Teljes szívből áldom neved	207	
Tiéd a végtelen, a kárpiton túli tér	13	
Több, mint a földi gazdagság	209	
Több vagy mindennél, amit emberi	92	
Tűzzel megkeresztelsz	212	
Üdv a Királynak	217	
Úr vagy szívemben	197	
Uram Hozzád emelkedem	183	
Uram, Hozzád emelem lelkem	214	
Uram, Szent vagy, Szent vagy	208	
Uram, Szent vagy	215	
Uram, Te ismersz, látod szívem	120	
Urunk áraszd ránk most kegyelmed	216	
Vak koldusként	116	
Van egy hely, ahova mehetek	218	
Várlak, Uram jöjj hozzám	219	
Várom a napot, eljön az Úr	221	
Végtelen kegyelmed ébreszt fel	185	
Véred megérint, s hozzám szól	148	
Vidáman, hangos dallal	103	
Vonj közel Hozzád	225	
