A Bárány vére	1
A bűn sötétjét áttörte a fény	2
A napfelkeltétől	3
A napkeltétől	4
A szívemet átadom	5
A Te nevedben	6
Abbá Atyánk	7
Add át a szívedet Jézusnak	8
Adj, Uram, ma új szívet	9
Aki akar jöjjön	10
Adj, Uram, nékem	11
Aki hozzám fordul	12
Aki Isten felé fordul	13
Áldásoddal megyünk	14
Áldjátok az Urat	15
Áldjon meg téged	16
Áldjuk a mennyei Atyát	17
Áldott a nap	18
Áldott légy Istenem	19
Áldott légy, jó Atyám	20
Áldott szavad által	21
Amint vagyok, csak úgy jövök	22
Álmokat kergettél	23
Amikor megérint engem	24
Átadom magamat	25
Atyám két kezedben	26
Az aki bennünk	27
Az Úr az én jó pásztorom	28
Az üdv szava átvonul	29
Az Úr az erősségünk	30
Az Úr kinyújtva szent karját	31
Az Úr az Isten	32
Az Úr gondol ránk	33
Az Úr Jézusnak ma tárd ki	34
Az Úr örömmel	35
Az Úr légyen áldott	36
Az Úr lejött szegényen	37
Az Úré a föld	38
Az Úré minden hatalom	39
Az Úrra bízzad sorsod	40
	
Békéd, mint a folyó	41
Békességre vágyik	42
Békét ad Ő	43
Boldog örömmel zengi a szívem	44
Boldog ember	45
Bűnömet elvette	46
	
Csak nyisd ki a szíved	47
Csak Tiéd	48
Csoda forrás ömlött	49
Csodálom az Ő útjait	50
Csodálom Jézus nagy kegyét	51
	
Dicsérd, dicsérd	52
Drága Uram	53
Dicséri, áldja szüntelen	54
	
Egy hangszer hadd legyek	55
Egy szív érettem dobogott	56
Egyedül csak Te vagy	57
Éjjel, nappal	58
Élet fejedelme	59
Él Shaddai	60
Életedben nincs remény	61
Életem csak kegyelem	62
Elindulunk, égő szívvel	63
Eljön az Úr nagyon hamar	64
Én fel sem foghatom	65
Én lelkem zengj szép zsoltárt	66
Én Uram, Megváltóm	67
Énekelj az Úrnak	68
És leült az Úr a mennyben	69
Esdve kérlek, jó Atyám	70
Ez az a nap	71
	
Fáradt vagy tán	72
Fel, hálaének zengjen	73
Felséges vagy Uram	74
Feltámadt Hős	75
Formáld a szívünket	76
	
Glória szálljon a mennybe fel	77
Gyermekként jött	78
	
Ha átadod nékem a szívedet	79
Ha föltekintünk Jézusra	80
Ha néha-néha bús vagyok	81
Hadd legyen minden	82
Hála, hogy itt a csendes reggel	83
Halleluja (szeret Jézus)	84
Hálaadással	85
Háladalt mondj az Istennek	86
Hálát adva áldja Istent	87
Halld, csak halld	88
Hiszek Uram	89
Hív már az Úr	90
Hívlak Uram	91
Hűséged végtelen	92
Hozsánna, hozsánna	93
	
Igéje szól	94
Így szól ma tehozzád Jézus	95
Immánuel	96
Isten ezt a napot azért adta	97
Isten fénye	98
Isten hív, te el ne küldd	99
Isten, áldlak Téged	100
Isten hord karjain	101
Istenem nem értem	102
Itt az éltem, Jézusom, oltárodra áldozom	103
	
Jer, alázd meg magad	104
Jézus az Úr	105
Jézus hív, hogy szabad lehess	106
Jézus Krisztus jár velem	107
Jézus Krisztus Mesterünk	108
Jézus neve fenséges	109
Jézus szíve megbocsát	110
Jézus, Uram, ki úgy szeret engem	111
Jézus vére oly csodálatos	112
Jézus, véred megtisztít	113
Jézus, neved oly csodálatos	114
Jézus visszajön	115
Jézus, hű Megváltó	116
Jézus, Jézus, Jézus	117
Jézus, tiszta lényed nézve	118
Jó Atyánk, úgy szeretünk	119
Jöjj Izráel, ne félj	120
Jó őt dicsérni	121
Jöjj a Szentek Szentjébe	122
	
Kedves barátom	123
Kegyelemből léphetünk be	124
Kelj fel lelkem	125
Kész szívvel követünk	126
Kik a Krisztusban hunytak el	127
Köszönöm Jézus	128
Krisztus Úr	129
	
Láttad-é	130
Légy Te az első nékem	131
Legyen a béke – Hevenu sálom	132
Lelkem, áldd az Urat	133
Legyen szívünk mindig vidám	134
Lelkem várja az Urat	135
	
Maga Jézus vitte	136
Magára vette	137
Még nem is éltem én	138
Meghallottam lágy szavad	139
Meglátni Jézust	140
Megtört szívvel	141
Megváltóm, hallom a hangodat	142
Megváltva	143
Méltó a Bárány	144
Méltó, méltó a Bárány	145
Menjetek be kapuin	146
Mi Atyánk, Isten	147
Mi várjuk az Úr Jézust	148
Mikor jössz vissza Jézus	149
Mily szent öröm	150
Mily kedves látni	151
Mily szépek, Jeruzsálem	152
Minden nap	153
Minden időben áldom	154
Mindenem az Úrnak adom	155
Mindörökké hű az Úr	156
Mint eltévedt bárány	157
Most ujjongjon a szívünk	158
Mint szarvas hűs vízforrásra	159
	
Ne aggodalmaskodjál	160
Nagy Istenem	161
Nagy Király	162
Ne rettegj, bármi sújt téged	163
Nem erővel, nem hatalommal	164
Nem hallod-e	165
Nem lankad el	166
Nézd meg az évszakokat	167
Nézz az Úrra nagy hittel!	168
Nosza áldjátok	169
	
Ó, bár az éltem	170
Ó, halld meg imám	171
Ó, mily csodálatos	172
Ó, Uram, a Te Igéd lámpás	173
Ó, Uram dicsérlek	174
Ó, kérlek, tisztíts meg	175
Ó, Uram te vagy az élet	176
Ó, áldd Isten nagy kegyét	177
Oly jó benned bízni	178
Oly szép az Ő neve	179
Olyan békét, mint a folyó	180
Ő az Úr	181
Örvendezek, énekelek	182
Örvendj, világ	183
Örvendjetek	184
	
Róla beszél fű, virág	185
Rád bízom	186
	
Serkenj fel, halld zeng a szózat	187
Soha nem fél már a szívem	188
Szánd meg népünk	189
Szent az Úr, az Alkotó	190
Szent vagy jó Atyánk	191
Szent vagy, Felséges Isten	192
Szívemnek mélyén	193
Szívből köszönöm, Uram	194
Szeretet áradjon köztünk	195
Szentlélek Isten, jöjj szívünkbe	196
Szólj hozzám Jézus	197
	
Te adtad nékem lelkemet	198
Te csak az Istennek országát	199
Te vagy az Isten	200
Te vagy dicsőségem	201
Tebenned hisz	202
Téged dicsér minden ajk	203
Tégy eggyé Urunk	204
Tehozzád kiáltok	205
Tégy engem békeköveteddé	206
Teljes szívedből	207
Teremts bennem	208
Tiéd az életem	209
Tudom, az Úrnak terve van velem	210
	
Úgy szerette Isten	211
Ünnepelj, ünnepelj	212
Úr Jézus, csodállak	213
Uram Isten, bemutatom	214
Uram, az éltem	215
Uram, én áldom	216
Uram, mind jobban szeretlek	217
Utunk Atyánkhoz érkezik	218
	
Vágyod-e elhagyni bűneidet?	219
Vágyom melletted élni	220
Válasszatok	221
Van egy folyó	222
Van egy nagyszerű hír	223
Vándorutam álmodozva járom	224
Vizsgálj meg	225
